account	gives
voice	articulate
voice	hear
wars	attend
yards	round
_	meant
_	translate
air	blow
air	let
animal	hide
beard	shave
breeches	meant
bulk	contained
cable	tied
cases	took
cell	contained
cells	divided
cells	required
chain	appeared
chain	hung
commission	used
court	resembling
distance	surround
ears	put
emperor	attended
emperor	begging
emperor	called
emperor	cast
emperor	deliver
emperor	demanded
emperor	desired
emperor	directed
emperor	expressed
emperor	let
emperor	meant
emperor	ordered
emperor	recover
emperor	stood
engines	apprehended
faces	flying
figures	cut
figures	drawn
figures	know
figures	marked
figures	saw
fob	took
fobs	called
fobs	touch
girdle	observed
globe	appeared
globes	contained
globes	required
hand	required
hundreds	fell
hundreds	struck
man	fastened
man	sticking
man-mountain	used
meantime	observe
meantime	ordered
meat	cut
men	conceive
men	lift
men	marked
men	tied
opinion	consulting
oracle	called
orders	obliged
palace	blow
palisadoes	meant
palisadoes	resembling
particulars	deliver
pistols	delivered
pocket	opened
pocket	saw
pocket	stepping
pocket-pistols	meant
pole	bear
purse	took
reflection	dazzled
rust	got
scabbard	return
sea-water	got
search	found
shoulders	bear
side	hung
silver	appeared
substance	appeared
substance	stopped
sun	cast
sun	return
sun	shone
time	recover
use	served
waist	divided
waist	observed
watch	bear
watch	delivered
words	_
writings	conceive
accidents	attended
agility	performs
author	diverts
author	has
candidates	creep
candidates	seen
candidates	wear
caper	cut
carriages	conveyed
ceremony	performed
consequence	being
courser	held
court	jumps
court	succeeds
disposition	cultivate
diversion	shown
emperor	being
emperor	convince
emperor	diverts
emperor	entertain
emperor	holds
emperor	lays
ends	parallel
faculty	lost
fall	received
feet	come
feet	extended
fellows	excel
foot	took
gentleness	gained
ground	extended
ground	lay
hair	venture
hand	dance
hand	held
hand	leap
handkerchief	gave
horizon	parallel
inches	extended
language	speaking
limb	break
men	learned
men	understand
mind	distinguish
mind	entertain
minute-hand	discern
neck	broke
occasions	shown
office	succeeds
ones	gave
ones	lost
ones	spoiled
ones	ventured
part	performs
patience	desire
persons	round
pistols	conveyed
possession	ventured
purse	gave
riders	leap
rope	cut
rope	fixed
scimitar	conveyed
search	escaped
silk	rewarded
silver	gave
skill	show
stores	conveyed
table	lays
thread	performed
threads	lays
threads	proposed
time	getting
year	broke
accident	happened
adventure	took
affairs	versed
arrows	discharged
board	carried
body	consisted
brim	bored
cabinet	mentioned
care	take
carriages	arrived
carriages	drawn
centre	press
colossus	stand
consent	take
cord	tied
corner	tied
court	entertaining
damage	received
day	arrived
day	divert
days	bring
days	repeated
days	set
days	took
directions	give
dominions	arrived
dominions	depart
dominions	extend
dominions	following
dominions	obliged
doors	keep
edges	round
emperor	carried
emperor	commanded
emperor	confirmed
emperor	desired
emperor	divert
emperor	diverting
emperor	order
emperor	ordered
emperor	overthrew
emperor	persuaded
emperor	pleased
emperor	took
entertainment	ordered
entertainments	happened
feet	tied
foot	consisted
foot	hold
foot	slipping
grass	lay
hand	covering
hand	hold
handkerchief	extended
handkerchief	fastened
handkerchief	repaired
handkerchief	rising
handkerchief	struck
hands	mounted
hands	take
hands	took
harness	tied
head	fastened
hole	covering
hole	struck
holes	bored
holes	fastened
hoof	pawing
hooks	fastened
hooks	tied
horse	belonged
horse	consisted
horse	struck
horses	bring
horses	drawn
horses	secured
hurt	got
inch	bored
intelligence	receive
knees	shake
leader	commanded
ledges	served
liberty	carried
liberty	confirmed
liberty	mentioned
liberty	recovered
liberty	sent
license	depart
majesty	intreated
man	rising
man-mountain	belonging
man-mountain	depart
man-mountain	obliged
man-mountain	presume
man-mountain	take
man-mountain	walks
manner	divert
manner	diverting
matter	mentioned
matter	opposed
metropolis	come
oath	obliged
order	come
parties	attacked
parties	divided
parties	performed
parties	retired
person	versed
pikes	advanced
place	riding
place	stamping
plain	exercise
pocket	carry
proposal	approved
public	offer
rider	got
rider	overthrew
roads	walks
seal	depart
shipwreck	reaching
shore	reaching
shoulder	strained
shoulders	mounting
side	served
skirmishes	discharged
skirmishes	drew
skirmishes	fled
skirmishes	pursued
stage	falling
sticks	rising
sticks	secured
sticks	served
sticks	took
string	breaking
string	fastened
string	lost
substance	seen
swords	drew
under-secretaries	attended
universe	extend
wagoners	arrived
wagoners	bored
wagoners	fastened
work	finished
articles	subscribed
author	offers
chains	whereupon
circumspection	walked
coach	driven
coast	round
expressions	avoid
expressions	repeat
feet	driven
feet	flanked
feet	prostrating
fleet	destroy
fleet	preparing
friend	asking
friend	require
friend	told
gate	stept
horses	driven
houses	granted
houses	keep
inhabitants	granted
liberty	obtained
mathematicians	concluded
mathematicians	taken
number	fix
palace	described
palace	given
peril	keep
place	seen
quarters	divide
reader	conceive
reader	please
servant	conferred
servant	prove
spectators	crowded
stones	raise
streets	remain
streets	sideling
time	conceive
towers	flanked
town	visit
waistcoat	sideling
workmen	aiding
account	consented
account	lost
account	raised
ambassadors	expostulate
apartments	found
building	stept
buildings	enclosed
commotions	fomented
compliments	began
condition	flourishing
contrivance	got
controversy	published
conversation	chose
court	got
court	includes
courts	includes
creatures	eat
creatures	inhabited
crown	observe
distance	wait
ear	reach
edict	commanding
edict	published
egg	breaking
egg	eat
eggs	break
eggs	breaking
emperor	lost
empire	fled
employments	holding
empress	saw
end	break
end	seems
exiles	fled
face	applied
grandfather	breaking
grandfather	going
grandfather	happened
hand	gave
hand	hold
hand	took
invasion	threatened
knife	spent
law	resented
law	tell
liberty	began
liberty	obtained
life	lost
lodgings	saw
majesty	gave
majesty	pleased
merits	consented
moon	dropped
morning	attended
occasion	began
occasion	following
opinion	seems
parties	distinguish
parties	struggling
parties	understand
party	rendered
penalties	published
powers	engaged
practice	breaking
princes	saw
public	happened
quality	consented
roof	lifted
roof	set
schism	making
servant	attended
stick	drew
stone	built
stone	hewn
stool	stept
stool	stood
stories	left
strain	thought
time	destroy
time	received
times	suffered
volumes	published
wall	step
walls	built
weight	bear
work	reserve
world	inhabited
ambassadors	arrive
anchors	fastened
anchors	held
arguments	drawn
arguments	endeavored
arrival	given
arrows	discharged
arrows	stuck
author	prevents
cables	fixed
cargo	waded
coast	walked
coat	putting
cord	go
court	stood
credit	found
descent	make
design	divert
duty	present
end	pulling
end	tied
exiles	destroying
exiles	equipped
exiles	found
exiles	preparing
expedient	thought
extremities	bending
eyes	lost
fears	eased
fleet	approaching
fleet	arrived
fleet	equipped
fleet	fastened
fleet	perceived
fleet	seizing
fleet	viewed
foreigner	interfere
half-moon	move
harbor	lay
hillock	lying
hook	bending
hook	fastening
hooks	fixed
hooks	leaped
hooks	saw
hour	waiting
hour	walked
invasion	prevents
knife	cut
landing	received
long	live
majesty	communicated
majesty	placing
manner	approaching
middle	waded
necessaries	kept
needle	knitting
parties	interfere
people	brave
people	break
pocket	escaped
pocket	kept
ports	bringing
prince	created
prince	divert
prince	received
prince	seemed
princes	seemed
province	reducing
reason	twisted
scouts	assured
seamen	consulted
seamen	plumbed
searchers	escaped
ship	taking
ships	discern
ships	fixed
ships	leaped
ships	move
ships	run
shoes	putting
shore	stood
spectacles	took
stockings	putting
voice	cried
war	forbidden
wind	sail
adventure	proved
ages	cost
ambassadors	began
ambassadors	heard
ambassadors	obliged
articles	signed
buckets	provided
coat	left
coat	stifled
compliments	began
country	returned
credentials	deliver
crowd	making
destruction	ended
distance	see
embassy	arrived
expressions	forbear
expressions	reflected
fire	extinguished
friend	alarmed
friend	am
friend	appeared
friend	assured
friend	began
friend	clear
friend	come
friend	comforted
friend	desired
friend	disliked
friend	forbear
friend	forced
friend	forgive
friend	found
friend	got
friend	grant
friend	guess
friend	heard
friend	intend
friend	invited
friend	left
friend	mean
friend	mentioned
friend	obliged
friend	obtain
friend	perceive
friend	performed
friend	proved
friend	provided
friend	reach
friend	recovered
friend	reflected
friend	relate
friend	resolved
friend	returned
friend	show
friend	signed
friend	spoke
friend	stifled
friend	supplied
friend	tell
friend	thought
friend	told
gentry	send
ground	burnt
house	returned
ideas	gratify
imagination	leave
instant	got
intercourse	represented
interpreter	spoke
justiciary	give
kingdom	invited
ladders	applied
lark	observing
liberty	recovered
license	desired
manner	mentioned
manner	performed
manner	resent
manner	wait
matter	debated
meantime	leave
minutes	extinguished
monarch	pleased
monarch	wait
months	broke
natives	see
needle	threading
nobility	send
offices	looked
orders	give
orders	given
others	forbear
palace	burnt
palace	come
palace	get
pardon	passing
particulars	invited
passions	gratify
people	supplied
person	represented
place	relate
princesses	touch
proportion	leave
reader	gratify
reason	guess
renown	filled
respects	pay
respects	present
romance	reading
seamen	dwell
speech	make
strength	heard
time	began
tongue	make
tongues	found
tops	whereof
treatise	leave
treaty	finished
way	being
way	clear
way	making
weeks	found
world	filled
world	seeing
accuser	put
advantage	gets
age	born
ages	flourished
benefactor	makes
business	employed
children	bred
children	dressed
children	employed
children	preparing
children	suffered
city	whipped
confinement	lessened
corruptions	defend
crown	supplied
danger	underwent
dealer	undone
defence	making
defence	offer
deputies	learned
disposition	committed
diversions	take
employments	acquiring
exercises	consisting
exercises	continue
eyes	formed
feet	standing
goods	preserve
hands	put
height	grew
hinges	call
hours	consisting
inclinations	led
informers	allege
informers	look
informers	relates
innocence	accused
institutions	mean
intention	assisted
kinds	suited
knave	gets
lands	put
law	punish
laws	following
laws	relating
majesty	tell
males	dressed
males	educated
manner	managed
men	dressed
men	employ
mind	employments
moons	observed
moons	supposed
name	added
nurseries	educated
nurses	banished
nurses	imprisoned
nurses	presume
nurses	whipped
obligation	received
officers	levied
opinion	hold
penalties	enforced
people	fallen
people	thought
people	told
person	accused
person	recompensed
person	underwent
persons	believe
persons	choosing
persons	suppose
persons	thought
posterity	descend
practice	continues
prince	acts
professors	learned
qualities	suited
resurrection	found
returns	makes
rules	given
servants	avoid
servants	converse
severity	punished
sexes	suited
state	supplied
station	fitted
sticks	leaping
stories	entertain
thieves	preserve
trades	designed
trial	appear
use	appropriated
virtues	assisted
virtues	qualify
visit	suffered
women	enjoined
women	relating
year	imprisoned
year	see
years	lessened
admittance	desired
apprentices	intended
attendance	pay
author	makes
beef	eat
bones	eat
bucket	draw
children	instructed
children	keep
children	supporting
clothes	finished
clothes	make
collar	fall
computation	desired
computation	round
consort	desired
cooks	lived
cord	extended
cords	wanted
country	countenance
country	give
court	fill
day	call
discount	take
earth	cultivate
eleven	kept
end	held
enemy	caressed
enemy	forced
enemy	represented
expenses	limited
feet	make
floor	answered
floor	fall
fowl	take
funds	managed
hospitals	supported
justice	managed
kingdom	leaving
ladder	raised
law	limited
linen	quilt
majesty	informed
manner	employed
manner	wanted
maxims	thought
measure	taking
measure	took
mid-leg	lay
mouthful	eat
name	sending
neck	raised
pattern	displayed
pension	obliged
piece	make
plumb-line	fall
public	supporting
rest	kept
sempstresses	desired
sempstresses	employed
sempstresses	fitted
sempstresses	forced
sempstresses	get
sempstresses	measured
sempstresses	took
servants	astonished
servants	confess
shirt	displayed
shirts	make
shoulders	flung
staff	attended
tailors	employed
tailors	hold
tailors	looked
tailors	raised
thumb	measured
victuals	dress
account	accused
acts	appears
affair	compromised
affairs	approved
air	lift
ambassadors	arrived
appetite	lose
arms	pull
arrows	armed
arrows	discharging
arrows	poisoned
board	received
board	think
bones	cut
books	entered
c.	lift
cart-loads	take
chair	put
chairmen	dismissed
chamberlain	brought
coat-pocket	put
consciences	force
council	thought
custom	placed
dangers	concealing
days	directed
death	insist
death	put
degrees	starving
disapprobation	received
discontent	serve
doth	question
effect	took
empire	reduce
empress	borne
empress	lay
empress	remove
establishment	lessening
evil	provide
excellency	provide
eyes	put
eyes	putting
face	shoot
fire	extinguished
fire	kindled
fleet	bring
fleet	bringing
flesh	cut
flesh	tear
fowls	fed
fowls	grew
friend	approved
friend	desiring
glory	obscured
ground	lie
hands	lay
hands	shoot
hatred	increased
head	venture
heart	appears
heart	begins
heresy	forsake
honor	concerned
incident	commanded
juice	strew
license	received
life	concerned
life	spare
lord	entreated
lord	prepared
lord	proceeded
lord	would
manner	extinguished
measure	satisfied
months	consume
orders	die
orders	giving
orders	put
orders	strew
palace	inundate
parts	bury
port	brought
proceedings	venture
province	reduce
reason	inquiring
revenue	reduced
secret	kept
sentiments	offer
servant	giving
service	venture
skeleton	leaving
strength	carry
strength	enabled
strength	serve
success	increased
temper	preserve
traitor	accused
treason	begins
treason	prepared
treasurer	insisted
treasurer	objected
treasurer	prepared
treasurer	showed
viceroy	governed
voyage	make
world	known
world	think
accident	means
anchors	lifting
answer	waiting
arm	carried
arm-pits	fastened
articles	alleged
attendance	pay
author	returns
bottom	turn
cable	tied
cables	stowed
cables	took
censure	incur
ceremony	ended
chin	hold
coaches	alighted
command	waited
cord	fastened
court	decreed
courtier	designed
coverlet	carried
coverlet	wrapped
custom	introduced
days	cost
days	elapsed
days	return
decision	rely
disgrace	suppose
emperor	alighted
emperor	conferred
emperor	discover
emperor	received
enemies	rely
extenuation	admit
fleet	lay
fleet	sailed
fortune	thrown
ground	feel
ground	lay
ground	lie
guides	lent
hand	lay
hands	held
hole	fastened
horses	alighted
hours	return
house	want
illustration	conceive
judges	thought
juncture	rely
kingdom	published
ladies	alighted
league	observed
liberty	owe
license	pay
life	perused
man-of-war	drawing
man-of-war	seized
master	come
materials	getting
metropolis	pelt
minutes	rested
monarch	offer
monarch	seeing
necessity	advanced
object	found
opportunity	elapsed
opportunity	took
orders	begged
paddles	cost
people	admit
people	expected
people	held
people	lent
people	let
people	signify
people	terrify
pieces	pelt
prince	introduced
promise	come
prow	drawing
prow	lifting
prow	tied
punishment	submitted
qualities	known
rashness	owe
resentment	gratify
resolution	fixed
secret	discover
secretary	send
seventies	acquitted
shift	turn
ship	driven
speech	published
state-trials	observed
state-trials	perused
strength	twisted
tide	driven
tide	favoring
tide	waiting
train	alighted
traitor	declared
traitor	punished
treasurer	consulting
trial	standing
yards	advanced
accident	discovered
anchor	served
boat	greasing
boat	make
boat	stored
breakfast	ate
breed	propagate
brother	knew
coat-pockets	put
colors	see
commands	receive
considerations	moved
cooks	provide
country	carry
country	seeing
course	steered
court	contributed
days	taken
departure	hasten
directions	make
envoy	returned
envoy	told
face	lay
fleet	deprived
gun	discharged
hand	lay
heart	leaped
honor	engaged
hours	broke
hours	found
incumbrance	freed
island	descried
island	seemed
league	descried
leagues	gone
leave	take
linen	folds
obligations	owed
orders	given
peace	making
pocket-compass	directed
refreshment	took
sails	make
sails	slackened
sea	carry
sea	given
sea	hoped
sea-shore	find
search	find
service	avoid
service	continue
ship	slackened
ship-carpenters	assisted
ship-carpenters	helped
ship-carpenters	smoothing
shore	found
southeast	cast
southeast	steering
stone	happened
stone	served
vessel	found
workmen	employed
adventure	took
bones	found
breed	increased
captain	allowed
captain	falling
children	has
contrary	feared
countries	seeing
country	left
family	leaving
flesh	picked
food	mingled
food	rubbed
foresail	hand
foresail	reefed
foresheet	hauled
fortune	improve
gale	blow
goods	carried
goods	unshipped
guns	handed
head	disturbed
hole	found
house	seized
island	got
latitude	got
latitude	observed
leak	discovering
life	condemned
mizzen	handed
monsoon	called
parish	leaving
picture	given
pocket	took
return	find
sail	got
sail	split
sea	spooning
seas	observed
ship	got
ship	wore
sprit-sail	set
sprit-sail	took
storm	bid
storm	prepare
tons	bound
voyage	began
voyage	preserved
wind	called
wind	ceased
wind	following
yard	hauled
captain	sent
computation	carried
corn	rising
country	see
course	hold
curiosity	entertain
distress	lay
feet	rising
footpath	served
fore-top-sail	set
gap	find
helm	helped
hill	gave
knees	waded
leave	desired
lee	braces
lee	hauled
long-boat	armed
man	helped
men	go
men	going
men	got
men	walking
men	wandered
mizzen	set
provisions	held
river	saw
road	fell
road	served
sea	broke
sea	jutting
sea	observed
sea	scudded
ship	being
ship	brought
ship	got
ship	hold
ship	turn
shore	wandered
side	see
spring	saw
starboard	tacks
storm	broke
storm	carried
storm	followed
strides	took
tack	hauled
topmast	being
topmast	get
topmast	scudded
wind	followed
body	betwixt
children	bemoaned
clothes	pierced
coat	put
coat	seems
corn	hide
corn	laid
corn	reap
creatures	observed
curiosity	look
days	end
degrees	saw
ears	fallen
empire	chronicles
endeavors	bite
endeavors	lay
endeavors	scratch
eyes	raise
farmer	asked
farmer	blew
farmer	called
farmer	give
farmer	lifted
farmer	placed
farmer	presented
farmer	thought
farmer	took
fear	struck
fields	seen
fingers	slip
fleet	draw
flesh	pierced
fortune	gave
ground	dash
ground	lay
ground	placed
hair	blew
hand	draw
hands	place
hat	pulled
head	turning
hinds	asked
hinds	called
hinds	seen
knees	fell
laborers	seemed
master	ran
meaning	apprehend
meaning	guessed
millions	attested
motions	observe
people	betwixt
people	kept
people	pierced
people	sat
people	see
pocket	took
posture	place
posture	supplicating
reapers	heard
reflections	going
ridges	lay
servants	seemed
shape	behold
sides	pinched
sides	turning
step	advance
stile	looking
sun	raise
talk	suppose
tears	shedding
time	heard
voice	call
voyage	attempting
widow	bemoaned
words	spoke
yards	heard
yards	took
air	trembled
animal	flying
animal	seemed
apron	held
arm	held
bow	fell
bow	gave
bow	took
bread	crumbled
cable	fastened
cat	leapt
cider	tasted
creature	answered
creature	broke
creature	call
creature	carried
creature	computed
creature	convinced
creature	deafened
creature	desired
creature	discomposed
creature	drop
creature	fell
creature	found
creature	get
creature	got
creature	happened
creature	heard
creature	held
creature	kept
creature	laid
creature	lapped
creature	observed
creature	observing
creature	placed
creature	poured
creature	put
creature	received
creature	resolved
creature	roared
creature	saw
creature	seize
creature	seized
creature	showed
creature	snatched
creature	spied
creature	spoke
creature	stood
creature	take
creature	thought
creature	told
creature	took
creature	trembled
creature	walked
crust	stumble
degrees	grew
ear	laid
ears	pierced
earth	felled
face	fell
fall	got
father	complied
father	snatched
fear	flying
gallons	held
ground	place
ground	placed
ground	step
hand	doubled
hand	placed
handkerchief	doubled
handkerchief	laid
handkerchief	taking
hands	took
health	drank
house	carried
hurt	received
juncture	resolved
knees	fell
lad	kissed
lad	took
lap	leapt
legs	took
liquor	tasted
maid	sent
manner	lapped
manners	held
master	call
mischief	got
mother	held
mother	put
mother	took
mouth	got
mouth	roared
neck	broke
noise	deafened
noise	heard
noise	proceeded
nurse	fastened
people	observing
plaything	get
pocket	put
pocket	taking
purse	offering
purse	opening
purse	put
purse	took
reader	conceive
reader	excuse
seat	took
servants	sent
sleeve	took
son	held
son	pardoned
son	sat
son	took
spite	owe
spring	give
squall	began
stones	filled
talons	seize
time	snatched
times	offering
times	turned
times	walked
trencher-side	come
urchin	frighted
waist	fastened
wife	called
wife	crumbled
wife	minced
wife	placed
wife	ran
wife	reconciled
wife	screamed
wife	seen
wife	showed
words	expressing
work	sent
appearance	astonished
author	carried
bed	put
belt	taken
boar	bristles
carcase	draw
carcase	lay
charge	gave
collar	held
comrade	fled
comrade	gave
comrade	trickling
creatures	deformed
curtains	crept
drawer	placed
face	appeared
family	took
feet	fell
forefeet	held
fright	rose
glass	find
glass	seen
ground	looked
hand	took
handkerchief	covered
hands	washed
holes	discover
hours	slept
inch	wanting
kingdom	took
language	learn
language	teach
minds	grovelling
mistress	covered
mistress	drew
mistress	gone
mistress	locked
mistress	perceiving
mistress	put
neck	slash
night	fit
particulars	excuse
particulars	help
people	stayed
pieces	torn
rats	crept
rats	ran
reader	excuse
reader	think
reflection	forbear
review	blotted
room	awaked
side	used
sides	attack
skins	look
sorrows	aggravated
travellers	accused
travels	am
view	brought
view	confessed
view	took
wife	gave
world	presenting
_	call
actions	imitated
animal	found
benches	set
bosom	laid
butcher	sold
company	turned
condition	undergone
creature	resembling
crowd	avoid
cup	given
daughter	took
day	recover
distress	undergone
doors	break
eyes	appeared
farmer	lived
fellow	deserved
fellow	gave
field	found
folks	happen
folks	squeeze
girl	apprehended
girl	asked
girl	commanded
girl	fell
girl	found
girl	give
girl	knew
girl	laid
girl	observed
girl	serve
guest	asked
guest	told
hands	taking
hanger	drew
health	drank
honor	regarded
hope	left
house	riding
indignity	conceive
inn	alighted
innkeeper	consulting
innkeeper	hired
interest	suffer
journey	shaken
lamb	give
legs	erect
liberty	recover
man	put
matter	picked
matter	told
miles	riding
mischief	break
mischief	happen
misfortune	charged
misfortune	deserved
monster	carried
morning	told
mother	picked
nature	exposed
neighborhood	found
neighborhood	known
nurse	gave
nurse	instructed
nurse	picked
nurse	stood
nurse	touch
part	affirm
people	answered
people	bore
people	countenance
people	discovered
people	suffer
pike	exercised
preparations	making
preservation	owe
questions	asked
reach	put
reproach	charged
respects	paid
sight	show
spectacle	exposed
speeches	used
storm	trotted
straw	exercised
table	asked
table	drew
table	produced
table	put
table	told
table	walked
times	turned
town	carried
town	give
town	resembling
tricks	diverting
while	consulting
words	speak
year	sold
affairs	settled
alphabet	learned
apartment	provided
bed	furnished
bills	put
brains	knocked
country	took
court	provided
dwarf	quarrels
edge	palisadoed
farmer	observed
farmer	resolved
farmer	resolving
feet	palisadoed
feet	provided
form	put
girl	furnished
girl	get
girl	held
girl	lined
girl	provided
girl	quilted
girl	show
girl	tired
girl	took
hazel-nut	aimed
hazel-nut	flourished
hazel-nut	knocked
head	aimed
head	missed
house	rode
house	see
illustration	arrived
language	called
language	speak
lap	carried
legs	stand
letters	giving
