belief	reconciled
temples	shining
times	afforded
tombs	dug
tombs	shining
transfiguration	brings
tree	thrown
vault	lit
wand	transfigured
water	rises
water	took
ways	relieved
works	obtained
works	startle
affinities	showing
angle	study
back	grow
boats	covered
boats	crowding
bosom	laid
bosom	place
buildings	availed
cane	used
case	come
castanets	striking
chin	rounded
convictions	held
corn	threshed
court	pays
degeneration	produced
divinities	enumerates
drollery	found
ears	grow
excursions	making
existence	felt
face	sitting
father	take
feasts	carried
festivals	kept
figment	took
foreigners	inclined
foreigners	left
foreigners	occupied
forms	represented
frames	scan
gazelles	represented
gods	addressed
hand	see
hands	clapping
heaps	driving
individuals	accentuated
inhabitants	challenging
jaws	advancing
king	began
king	makes
king	pays
king	pours
labours	sang
landing-places	stopping
language	allied
libation	pours
life	comes
lion	represented
man	transformed
man	walks
men	conceive
men	know
men	pass
men	sang
men	sit
men	threshed
men	trod
monarch	erects
monkey	reveals
monkey	transformed
monuments	see
nausaas	pays
nebhept	offering
nebhept	pays
negroes	attenuated
negroes	bore
nephthys	erects
nile	covered
nishem	mentioning
nobility	reserved
numbers	frolic
oils	bring
oxen	driving
pantheon	exhaust
people	addressed
people	danced
people	delighted
people	drank
people	existed
people	felt
people	find
people	gave
people	give
people	preserve
people	sang
physique	affect
pig	transformed
pilgrimage	ends
place	taking
pleasure	felt
prayers	addressed
proposals	mocking
question	found
question	thrown
race	ended
race	question
reign	began
relationship	accounted
remains	see
resemblance	bore
rest	gone
right	loved
rocks	graven
satirists	reproduced
satirists	travestied
scenes	pictured
scenes	reproduced
scenes	see
sculptures	wherewith
shore	pass
slave	carried
slave	showed
spices	bring
spirit	mocking
statement	please
statement	took
task	ended
thoughts	know
tide	having
time	received
times	covered
tomb	begin
tombs	allowed
tombs	attached
twill	loved
type	existed
type	produced
walls	portrayed
wine-press	trod
women	bring
women	conceive
women	covered
wooer	represented
word	know
world	belonging
writer	enumerates
writer	gives
yourselves	thresh
aahlu	deserved
aahlu	needed
abode	known
affections	challenged
affections	dissipating
ambassadors	sayest
animal	held
animal-worship	reached
animals	embalmed
animals	pay
approach	invited
arms	raised
arts	instructed
beasts	declared
beasts	treated
beings	concentrated
beings	distributing
belly	falls
block	cut
bodies	interred
body	re-entered
brother	called
bull	called
bull	maintained
bull	regarded
c.	brought
cat	died
cats	injured
choice	make
circumstances	treated
courtier	attributes
creatures	treated
crown	tore
cults	amalgamating
cults	held
date	received
day	make
deeds	preponderated
deities	declared
deities	given
deity	set
deserts	sentenced
dog	died
doubt	admits
dwarf	represented
dwellings	come
ears	represented
elements	personified
end	attaining
evil	personified
father	avenge
favour	attributes
fields	taught
forms	manifest
fury	attack
galleries	buried
galleries	cut
genii	guarded
glory	turned
god	find
gods	contained
gods	resolved
gods	tired
gods	understood
goodness	hated
hand	record
hands	carrying
head	drove
head	giving
head	repaired
head	struck
heliopolites	reverenced
hermonthis	kept
honours	buried
hymn	find
impurities	cleansed
inhabitants	come
inhabitants	see
inmates	expected
introduction	turn
jewels	embalmed
kings	gave
kings	happened
kings	instructed
kings	taught
knives	carrying
life	attributes
lips	failed
localities	continued
maut	offered
maut	represented
memphites	reverenced
mind	represented
mother	bore
myth	ran
name	pronounce
nations	ridiculed
night	make
nile	threw
ones	given
ordeal	passed
pacis	called
pantheon	amalgamating
pantheon	continued
pantheon	record
pieces	concealed
pieces	cut
places	concealed
poets	use
populace	lynched
presence	brought
priests	known
priests	prevailed
process	repeated
procession	led
quality	fix
queen	buried
queen	called
queen	found
queen	set
recognition	obtained
regard	pay
relation	mourn
remains	sought
repositories	interred
sarcophagi	contain
sarcophagus	hold
scale	placing
scales	brought
sea	floated
sentence	underwent
shore	found
shrine	found
soul	allowed
soul	blessed
soul	conducted
soul	descended
soul	judged
soul	led
soul	lived
soul	re-entered
soul	returned
soul	sentenced
soul	underwent
spear	drove
spear	renewed
sphere	tired
statues	set
sutekh	hated
taour	represented
temples	set
texts	known
texts	taught
thoth	giving
thoth	offered
thoth	personified
thoth	repaired
throne	occupied
throne	took
time	existed
time	sought
time	take
tons	weighing
torrent	come
turns	take
vase	containing
vine	cultivate
war	engaged
waves	cast
while	effected
wishes	declared
ancestors	borne
aristocracy	landed
bastinado	subjected
bench	sat
book	brought
book	fished
book	told
book	wrote
booty	obtain
capital	needed
care	studied
caste	existed
chariots	hanging
child	lost
class	labouring
class	viewed
complacency	declares
coptos	threw
country	looked
country	regarded
court	employed
day	pleased
days	languished
defaulter	subjected
domain	rewarded
education	enjoyed
egg	laid
epitaphs	allowed
estates	living
father	does
festivals	kept
fire	wasting
god	brought
hand	speaking
handicrafts	pursued
head	placed
houses	established
iii	put
inhabitants	gave
jars	filled
jars	remained
judges	live
juice	extracted
kings	boast
kings	come
kings	entitled
kings	represent
knowledge	sold
labourers	landed
labours	forced
labours	pleased
land	befell
land	smite
life	adopt
life	recommended
luck	brought
m'na	called
m'na	represented
malice	bore
man	labouring
men	endeavoured
men	hated
men	smite
merits	charmed
ministers	rewarded
monarchs	sacrificed
myth	produced
myth-spirits	disport
name	heard
narratives	find
nature	pointed
number	employed
offering	brought
one	died
oppressor	took
others	pursued
overseers	used
palace	prevailed
people	_
persons	engaged
population	saved
prejudice	harboured
priest	brought
priest	discovered
priest	lost
priest	sold
prisoner	languished
proprietors	landed
readers	put
regions	abut
remains	show
sceptre	unite
seb	hatched
seb	laid
seb	took
second	allowed
sister	married
social	ranks
sons	bred
sons	does
sons	obliged
stick	used
stop	put
subjects	advise
subjects	committed
subjects	grew
subjects	offended
subjects	plotted
subjects	uttered
thieves	scruple
things	plotted
time	fell
time	hatched
tombs	plundering
tracts	symbolized
truth	speaking
vanity	sacrificed
way	kept
way	make
widow	gave
wife	lost
words	uttered
work	enclosed
work	took
_	_
ages	give
alluvium	surrounded
amenti	held
answer	seems
artificer	created
artists	accomplish
artists	attempt
aspect	swung
bed	forcing
benefits	ask
benefits	attain
benefits	conferred
breezes	fanned
bulwark	obtained
capital	building
capitals	placed
cathedrals	grew
centre	gravitated
chambers	speaking
channel	enter
chronology	assign
circumstances	transferred
city	building
city	known
city	received
coeval	lay
colonists	expatriated
condition	exist
critics	asked
critics	have
critics	placed
critics	set
critics	spoke
critics	take
decline	saw
doings	told
edifice	adding
edifice	calls
ei-ptah	known
embankment	enter
embankment	forcing
embankment	raised
embankment	run
enemy	holds
enemy	smiting
fact	note
fact	related
fane	regarded
form	emerges
founder	founded
founder	obtained
founder	raised
founder	required
founder	undertook
glory	saw
government	established
hieroglyphics	used
hippopotamus	devoured
hippopotamus	erect
history	left
houses	resembling
hymns	sang
inscription	left
king	seem
king	turned
kings	agree
kings	left
labours	pursue
letters	express
libations	poured
living	acting
mace	incised
man	believed
materials	composed
miles	hugged
miners	pursue
moderns	attest
moderns	regarded
nations	found
needs	supply
offerings	regarded
offerings	secured
order	agree
peninsula	seen
people	attained
people	becoming
people	placed
plain	debouching
practices	took
protection	watered
pyramids	implied
question	asked
question	settle
regions	inhabited
reigns	assign
reputation	attain
revealer	lay
river	watered
roof	composed
rudeness	attaches
rudeness	want
ruins	given
seb	spoke
sense	exists
side	see
side	wanted
sides	surrounded
sign	stands
site	occupies
spot	continue
stead	spring
stones	composed
stream	watered
structures	adding
suspicion	arises
temenos	situated
time	assign
time	included
time	inhabited
time	met
tombs	contain
tombs	throw
town	lay
trace	remains
tradition	believe
trees	planted
victim	fell
view	concealed
windows	resembling
words	_
work	undertook
acres	covered
amulet	suspended
ankles	reached
architect	carried
area	covered
bracelets	adorned
breasts	reaching
building	assigned
calls	make
carriage	appears
case	hewn
chambers	connected
chambers	falls
chambers	traceried
class	connected
coast	inflict
collar	exchanged
condition	pass
construction	exists
construction	has
construction	shown
contents	amounted
contents	calculated
costume	speaking
countries	claim
decoration	speaking
discoverers	found
distance	brought
drudge	having
eremite	rejoicing
estates	lived
eye	call
feet	exceeds
feet	found
form	call
form	gone
form	maintained
friends	make
garment	employed
grandee	carried
grandee	clothed
grandee	employed
grandee	wore
hair	wore
hand	carried
hand	use
head	shave
height	reckon
households	maintaining
inferiors	belabouring
kings	treated
land	owned
limestone	brought
limestone	built
lines	following
lord	seated
manners	prevailed
masses	gathered
monarch	pleased
monarch	strove
monument	assign
monument	built
monument	regarded
name	perpetuate
nature	rivalled
neck	reached
neck	round
nobles	lived
passage	used
passages	connected
place	challenge
poles	covered
position	being
position	maintained
purpose	used
pyramid	designated
pyramid	erected
pyramid	termed
pyramid	thought
religion	connected
representation	indicated
robe	clothed
robe	reached
rock	carved
rock	excavated
rock	fastened
romans	adopted
roods	covered
sarcophagus	contained
scale	being
seat	seated
shape	preserving
shoulders	passed
sides	inclining
simplicity	prevailed
size	attained
son	bore
spot	quarried
spouse	exposed
spouse	supported
staff	carried
stage	crumbled
stage	has
stage	penetrated
stage	proved
stages	sloping
subordination	indicated
thoughts	ruled
thoughts	shared
throne	ascend
throne	preceded
time	sees
times	rode
tomb	regarded
tomb-chamber	carved
tomb-chamber	lined
tomb-chamber	paved
tons	weighed
visits	pay
waist	reaching
walking-stick	use
way	constructed
west	passed
wig	wore
world	connected
wrists	adorned
accretions	solve
air	joined
air	lead
air-passages	carried
angle	sloped
architect	conceived
architecture	proceed
area	covering
base	commencing
blocks	covered
blocks	laid
blocks	required
branches	descending
ceiling	form
chamber	carried
chamber	carved
chamber	contained
chamber	covered
chamber	entering
chamber	give
chamber	joined
chamber	lead
chamber	measured
chamber	needed
chamber	prevent
chamber	relieve
chamber	roofed
chambers	mounts
chambers	needed
chambers	reached
chambers	relieving
coating	adding
coffin	contained
coffin	showed
constructions	raised
contents	build
contents	estimated
contents	exceeded
descent	began
direction	changes
discoveries	embody
dynasty	belonged
earth	reach
equator	reach
estimate	regard
feet	ascended
feet	contained
feet	estimated
feet	exceeded
feet	extending
feet	lies
feet	measured
feet	measures
gallery	leads
granite	blocks
heap	pile
height	exceeded
houses	pull
houses	suited
inhabitants	known
inhabitants	pile
king	happened
kings	belonged
mass	pressed
moderns	regard
mystery	solve
necropolis	occupy
object	attained
party-walls	throw
passage	ascending
passage	began
passage	carried
passage	continued
passage	descending
passage	joined
passage	open
passage	reached
passage	tunnelled
passages	lead
passages	showing
passages	ventilating
pieces	pull
purpose	built
pyramid	erect
pyramid	smoothed
pyramids	built
reign	making
rock	tunnelled
sarcophagi	held
shafra	read
sides	rose
sites	occupy
speculations	indulge
supposition	solve
telescopes	designed
theorists	delighted
theorists	raised
tombs	built
tons	calculated
tons	lost
tons	weigh
top	covered
top	has
top	reach
tradition	accepted
tradition	ascribed
ventilation-shafts	carried
vigour	pushed
walls	laid
yards	divides
yards	reached
year	making
year	pushed
years	employed
age	handed
ambition	possessed
anubis	cast
anubis	seen
anubis	sitting
arts	progress
associations	attach
authority	declares
beholder	convey
beholder	eludes
beholder	impress
beholder	slopes
biers	tend
borders	assailed
chamber	lined
chamber	roofed
chapel	stands
chapel	uncovered
classes	labouring
code	required
code	seems
condition	improving
conduct	influenced
construction	displayed
crew	bewilder
crew	hated
crew	perplex
crew	vex
dependents	shown
design	conceive
edges	bevelled
ends	secure
enemies	destroying
enemies	living
enigmas	bewilder
enigmas	couldst
enigmas	make
enigmas	mislead
enigmas	moan
enigmas	perplex
enigmas	vex
erection	caused
exception	seem
extent	possess
feet	measures
feet	stands
foreigners	fell
grapes	gather
grave	watching
graves	buried
guard	held
hearts	steeled
heaven	engendered
height	coated
height	exceed
history	has
interests	secured
inundation	save
joints	detected
kings	aimed
kings	exalt
kings	failed
kings	handed
kings	missed
kings	neglected
kings	sought
kings	steeled
lane	neath
lion	being
lotuses	gather
measure	failed
moderns	doubted
moderns	possess
monarch	regarded
monarchs	rivalled
monument	aimed
monument	coated
monuments	caused
names	handed
object	groans
oppression	fell
oppressor	regarded
others	asked
parallel	conceive
passages	connect
passages	pierce
people	oppressed
phrase	telling
pyramid	finish
pyramid	impress
pyramids	apply
pyramids	burying
quarters	secured
queries	adds
remains	contained
remarks	apply
rise	causing
sands	sitting
sarcophagi	rifled
sarcophagus	carved
service	impressed
shadows	cast
shafts	ventilating
skill	struck
smile	frozen
soldiers	look
spectator	gazes
spectator	produce
spectator	prolongs
spectator	seen
sphinx	connect
sphinx	pierce
stone	let
subjects	forced
tablets	formed
tasks	accomplish
temper	indicated
temper	reads
threshingfloor	save
throne	held
time	erected
tomb	construct
tomb	put
tools	proved
tyrant	regarded
vanity	gratify
virtues	prevented
weight	detected
wonders	hid
world-loser	died
_	armed
afflictions	cease
amphitheatre	leave
animals	opened
animals	rouse
antefs	continued
antelope	called
appellation	transferred
arms	having
arms	taken
artist	gave
assailants	dared
assailants	fled
assailants	lay
bank	leave
battlefield	accompanied
bed-chamber	attacked
boat	using
borders	armed
borders	keep
borders	leading
chase	delighted
chest	drooping
civilization	set
claim	implied
collars	wear
communications	opened
conquests	making
country	suited
court	lay
crocodile	attacked
crocodile	spearing
crown	fought
date	prevailed
days	come
diadem	bore
dog	compared
dogs	bears
doubt	lay
doubt	reached
dynasties	bore
dynasty	regard
ears	has
ears	set
elephantine	reached
eye	effected
fleet	launched
foxhound	has
foxhound	resembles
frontier	constructed
frontiers	guarded
gate	keep
gulf	lay
hand	reached
head	joins
hook	throw
incursions	harassed
inhabitants	accompanied
interior	seem
isolation	acquired
keeper	appointed
keeper	figured
kingdom	sank
lairs	rouse
legs	has
legs	walks
limbs	drooping
lion	hunted
lions	represent
mark	leaving
masters	accompanied
messengers	regard
messengers	sent
monarch	subordinated
monument	described
monument	shows
monuments	reached
monuments	represent
mummy	bore
name	appears
night	found
none	hungered
none	thirsted
object	constructed
onset	withstood
order	arose
order	ceased
orders	gave
peak	gathers
peak	has
peculiarities	marked
people	subordinated
phrase	implied
pig	take
position	existed
power	allowed
power	assert
prince	followed
prisoner	brought
projects	occupied
purpose	achieved
quarrymen	protect
range	gathers
sakti	come
sakti	harassed
sakti	keep
servants	gave
side	gathers
site	represented
site	ruled
soldiers	leading
sound	come
spine	joins
square	drooping
state	ruled
tapiu	interpret
temples	adorned
temples	building
time	advanced
tombs	building
town	come
traffic	protect
tribes	chastised
tributary	receives
usurtasen	prevailing
watch-dog	regard
way	led
weakness	recognized
weapons	seized
wells	sank
1885	drew
_	entitled
_	has
_	wears
affairs	brought
affairs	coming
amenemhat	exhibited
amenemhat	induced
anklets	wearing
ass	carrying
ass	precedes
asses	importing
attention	occupy
beauty	increasing
being	owes
boats	betake
book	read
border	holds
boy	armed
boy	walks
building	arose
building	demolished
campaign	taking
capital	carried
captive	carried
cell	carried
character	assumes
chief	brought
children	placed
children	seated
colchis	left
colony	left
colossi	marked
colossi	set
companions	wears
completion	carried
constructions	built
cord	extended
cord	measuring
corn	stored
country	contained
country	penetrate
date	deferred
day	frequents
decree	issued
diadem	wearing
dogs	followed
dress	wears
eyes	consult
eyes	gaze
fact	marked
father	brought
father	distinguished
father	settled
fillets	round
first	carry
foot	varies
force	confined
foreigners	accompanied
foreigners	receives
forts	bear
forts	established
foundations	laid
fringe	ornamented
goats	importing
government	drew
heads	round
hearing	solicit
homage	offer
hook	attached
hook	drew
houses	built
houses	erected
hundreds	drowned
hunters	hauled
inhabitants	return
inscriptions	adorned
inscriptions	set
intention	expressed
intention	fixed
intention	moved
king	carried
king	followed
king	issued
king	reproduced
king	rose
knee	reaching
lands	spreads
libation	poured
lyre	plays
master	unrolls
men	kill
men	represented
men	solicit
monarch	advanced
monarch	conquering
months	rise
mounds	erected
mounds	surmounted
mounds	washed
myths	gathered
name	gathered
occurrence	represent
offering	presents
official	named
official	receives
operations	began
pannier	carrying
part	taking
pen	holding
peninsula	found
pharaoh	poured
pillars	set
place	arise
plectrum	plays
population	betake
population	has
prisoner	carried
races	warning
rain	cease
rain	pours
reign	occupy
results	ensue
rise	continues
rise	passes
river	rise
river-god	poured
sandals	carries
sandals	followed
sandals	wearing
scene	recognized
scribe	extended
scribe	laid
scribe	named
scribe	read
scribe	unrolls
sculptures	adorned
scythia	found
sesostris	softened
shield	carrying
skin	dying
soil	covering
son	associated
son	associating
son	known
son	succeeded
south	bordered
spear	armed
spear	carrying
staff	carries
statue	set
statues	adorned
stone	cut
stream	dwell
stream	gaze
struggles	drew
successes	record
summit	catching
throne	seated
throne	settled
time	belongs
uniformity	calculated
uniformity	spreads
uniformity	swelling
victory	recorded
villages	protect
wild-goat	presents
women	accompany
women	wearing
words	inscribed
work	execute
year	began
year	established
years	reigned
years	reigning
accession	assumed
admiration	excited
admiration	passed
advantage	conducing
advantage	taken
ages	admired
ages	equal
ancients	furnished
ancients	presented
basin	passed
basins	found
bellefonds	assigned
bellefonds	believes
bellefonds	considered
bellefonds	gave
bellefonds	regarded
bellefonds	traced
bottom	cutting
boundaries	ploughed
breezes	quitted
building	surrounds
calculations	contained
canal	carried
canal	cutting
canal	dug
canal	leaving
centuries	held
chambers	passed
chambers	speak
cloud	enjoyed
cloud	follow
cloud	impending
colonnade	built
colonnade	surrounded
commerce	occupied
conduits	flow
construction	conducing
construction	undertaken
contingency	meet
control	retained
courts	has
courts	passed
courts	roofed
dams	blocked
days	assigned
days	gone
depression	separated
depression	sought
design	adopt
dispute	set
doubt	begun
downs	quitted
dynasty	passed
dynasty	show
edifice	intended
evils	remedy
expedition	enable
expedition	ere
eyes	saw
feet	stood
figures	carved
floods	passed
fluid	banked
food	making
foreigners	confusing
founder	being
gifts	allows
gorge	carried
gorge	north-west
height	reached
houses	excel
improvidence	allows
increase	assigned
inhabitants	gave
inundation	admit
inundation	eke
inundation	reached
king	constructed
king	gave
king	promoted
labyrinth	built
labyrinth	equal
labyrinth	speak
labyrinth	surpass
labyrinth	surpasses
lake	covered
land	effected
land	knew
lands	covet
level	flowed
limestone	cased
material	employed
men	covet
merits	enumerating
miles	containing
miles	prolonging
niggard	gives
occurrence	preventing
one	starved
opening	applied
parts	stood
passage	entered
passages	excel
people	benefit
period	enumerating
place	found
place	visited
praenomen	found
princes	considered
purpose	constructed
pyramid	stands
pyramids	surpass
pyramids	surpasses
race	hope
rays	shielded
reservoir	called
reservoirs	constructed
rise	expected
river	begun
river-courses	flowing
rupture	spread
sea	flowing
sea	lost
seed	promised
situations	storing
stones	built
stones	fitted
store	suffice
stream	flowed
stream	formed
terms	recorded
tomb	enumerating
valleys	blocked
wall	contains
wall	surrounds
walls	carved
walls	put
water	filled
water	retained
water	storing
way	took
widow	gave
woman	gave
years	lasted
anger	provoked
anxiety	fell
attack	subjected
attempt	escaped
authority	declares
battle	conquered
behold	art
behold	come
behold	know
border	guarded
camels	beginning
capital	forwarded
change	come
circumstances	conceive
conquest	attempted
country	invade
court	apprise
critics	acquiesce
dangers	recalled
date	kept
day	beginning
day	kept
deceit	reproached
dependents	leave
desert	wended
diamonds	sown
displeasure	required
dynasty	lasted
enemies	pass
event	belongs
expansion	required
expeditions	conducted
expeditions	terminated
fare	groan
fear	seized
fringe	deepen
frontier	approached
frontier	wended
hearts	leap
hearts	lift
historian	come
hittites	descended
hittites	growing
hittites	required
home	needing
homes	find
house	born
house	brought
households	remark
in-comers	receive
infancy	pass
influx	welcome
instance	told
kings	conducted
kings	laid
kings	started
line	appear
line	deepen
line	sown
master	commended
master	sent
matters	set
means	known
monarch	lavished
movements	begun
narrative	attach
nation	coming
nations	pass
north-east	receive
one	betrayed
ordeal	pass
ordeal	subjected
orders	awaited
others	surmised
part	regard
patriarch	declares
patriarch	lived
patriarch	taught
period	looked
period	thought
pharaoh	commanded
pharaoh	depart
pharaoh	hastened
pharaoh	inflicted
pharaoh	linger
pharaoh	pointed
pharaoh	regard
pharaoh	reproached
pharaoh	required
pharaoh	sent
pharaoh	take
point	acquiesce
point	inserted
point	says
population	displace
position	occupying
precautions	taken
pressure	becoming
priests	found
prince	substituted
provisions	carry
punishment	inflicted
quarter	representing
races	pressed
region	involved
regions	coming
relationship	dissemble
reply	agreed
reply	assigned
report	draw
report	forwarded
reports	sent
river	gave
secret	kept
seraglio	taken
servants	born
sister	art
soul	live
spirit	sprung
sufferings	attributed
territory	required
time	_
time	come
time	found
travel	groan
truth	found
wars	involved
way	wended
well-being	informs
wife	taken
women	organized
women	see
writers	narrated
years	lived
yoke	fell
arms	took
army	consisted
army	invading
army	levied
artists	sculptured
attention	attract
auaris	called
avaris	called
barbarians	swooped
capital	adorned
capital	bore
capitals	employed
centuries	exceeded
circumstances	took
cities	fled
cities	set
civilization	existing
civilization	impregnated
civilization	swept
colours	painted
conquerors	found
conquerors	possessed
contents	rifled
court	held
courts	dispersed
courts	placed
danger	come
degrees	suffered
deity	called
deity	considered
deity	described
deity	identified
deluge	emerged
deluge	passed
deluge	reached
deluge	surpassed
demand	consented
demand	evaded
demands	increasing
destroyers	escaped
dress	adopted
effigies	erected
effort	throw
embassies	interchanged
embassy	followed
enemy	repel
entrance	placed
exception	disappeared
exercises	superintend
extent	supported
favour	has
form	represented
fort	seems
frontier	fortified
garrisons	placed
glories	surpassed
god	seen
ground	covered
habits	settled
hands	suffered
independence	qualified
independence	retained
influences	assimilated
influences	surrounded
influences	yielded
inhabitants	defend
inhabitants	endeavoured
inhabitants	fled
intercourse	took
invader	collapsed
invaders	characterized
invaders	concluded
invasion	led
invasion	received
men	delivered
mit-fares	called
model	build
moderns	assign
moderns	vary
monarchs	differ
monarchs	erected
monuments	appear
monuments	left
monuments	recommence
monuments	supported
mythology	set
past	upsetting
peace	succeeded
pelusiac	called
place	visited
population	put
positions	fortifying
problem	remains
problem	seems
protection	regarded
pyramids	suffered
reigns	united
requirement	followed
residence	fixed
respect	failed
sanctity	violated
sati	characterized
shepherds	acknowledged
shepherds	build
shock	destroyed
shock	received
shock	swallowed
situations	resided
soldiers	measured
space	covering
sphinx	differed
sphinxes	differed
sphinxes	seem
spirit	possessed
subjects	assimilated
subjects	reigned
subjects	softened
summer	appear
summer	visited
sun	identified
suzerain	paid
sword	put
temple	built
temple	leading
term	incline
terms	used
thousands	swooped
timaeus	appear
time	assign
time	fortifying
time	garrisoning
time	placed
time	seem
time	substituted
time	vary
time	violated
times	followed
times	identified
town	leading
towns	build
towns	fortifying
traces	found
tributaries	bore
tributary	forced
tribute	paid
upper	received
usages	crushed
usages	existing
whole	seems
years	covering
zan	seems
zan	situated
account	gives
age	assign
arms	practised
army	bringing
arrival	fall
artists	assign
babylonians	succeeded
battles	slain
borders	driving
borders	seeking
brethren	shown
camp	established
camp	kept
camp	remained
causes	exhausted
centuries	continue
centuries	formed
centuries	prolonged
changes	initiating
chariot	rode
chief	declared
circumstances	conquering
class	despised
comers	intermixed
condition	bettering
conquest	occupies
court	learned
day	inhabits
death	maintained
defences	battering
defenders	blocked
defenders	caused
defenders	come
defenders	crossed
defenders	driven
defenders	entered
defenders	escape
defenders	harassing
defenders	recover
defenders	retired
defenders	seized
defenders	settle
defenders	wearied
descendants	sees
desert	crossed
deterioration	suffered
difficulties	increased
district	concentrated
district	fortified
district	watered
dominion	continue
efforts	making
element	modify
enemies	declared
enemies	lost
enemies	rise
enemies	seeking
expression	inhabits
favour	shown
field	bringing
fleet	ordered
footsteps	followed
force	collected
force	placed
forces	concentrate
frontier	established
god	acknowledged
habits	maintain
half	amounted
hands	committed
invaders	concentrated
invaders	established
invaders	kept
invaders	remained
jealousy	provoked
king	advanced
lake	bordered
limbs	elongated
