accidents	happen
joints	rusted
leg	cut
leg	slipped
lion	bounded
living	sold
love	kill
marriage	prevent
misfortune	knew
misfortune	seemed
oil-can	kept
oil-can	needed
oil-can	protect
part	promised
rainstorm	caught
road	bounded
road	paved
sheep	promised
side	walked
story	tell
tin-smith	make
tinner	happened
trees	hidden
way	cut
way	thought
wife	get
wood	sold
wood-chopper	build
wood-chopper	died
wood-chopper	grew
wood-chopper	lived
wood-chopper	love
wood-chopper	promised
woods	stand
woods	walking
year	stood
animal	's
animal	look
back	run
beast	opened
brains	have
claws	blunted
claws	struck
coward	makes
dog	bite
dog	cried
dog	rushed
dog	slapped
elephants	tried
eye	makes
eye	tear
feet	's
feet	set
girl	look
head	hanging
heart	begins
impression	make
life	makes
lion	thought
man	striking
man	stuffed
nose	help
nose	hit
nose	know
nose	known
nose	rubbed
nose	slapped
paw	rubbed
road	fell
sorrow	makes
surprise	make
thing	biting
tigers	tried
way	born
way	got
whirl	see
woodman	blunted
woodman	continued
woodman	fell
woodman	helped
woodman	lay
woodman	struck
axe	chopped
basket	enabled
basket	fill
basket	filled
basket	put
basket	seized
basket	took
beasts	keep
brains	give
brook	bathed
brook	rippling
company	set
comrade	approve
creature	picked
deer	kill
deer	killed
dew	protect
distance	kept
ditch	crossed
ditch	see
edge	crept
edge	looked
eyes	walked
face	bathed
face	ran
flames	kept
forest	divided
forest	go
friends	grown
girl	bathed
girl	started
head	stuffed
heart	give
jaw	rusts
jaws	crushed
jaws	oiled
jaws	rusted
leaves	cover
lesson	serve
lion	asked
lion	grown
mane	shook
moment	seemed
moments	talk
morning	slept
mouth	open
nuts	picked
oil-can	seized
one	knew
one	mention
oz	gives
oz	going
oz	think
road	crawling
road	crossed
road	walked
scarecrow	burn
scarecrow	dropped
scarecrow	feared
scarecrow	fill
scarecrow	filled
scarecrow	found
scarecrow	give
scarecrow	going
scarecrow	keep
scarecrow	kept
scarecrow	kill
scarecrow	mind
scarecrow	oiled
scarecrow	put
scarecrow	remarked
scarecrow	saw
scarecrow	seized
scarecrow	serve
scarecrow	speak
scarecrow	step
scarecrow	talk
scarecrow	walked
side	see
straw	get
supper	found
thing	killed
air	flying
air	shot
attempt	make
back	ride
beast	crouched
beast	give
beast	walked
beasts	began
beasts	looked
beasts	returned
beasts	stopped
bottom	dashed
branches	fell
brutes	snarling
country	running
country	see
crash	fell
creatures	frightened
discomfort	add
distance	measuring
ditch	sprang
ditch	standing
fall	hurt
flowers	dotted
girl	asked
girl	kill
girl	surprised
girl	tear
gulf	fell
gulf	jump
hand	holding
heart	beating
horror	saw
instant	stopping
legs	put
lion	carry
lion	cross
lion	crossed
lion	fight
lion	frightened
lion	gave
lion	got
lion	jump
lion	knew
lion	landed
lion	leap
lion	measuring
lion	panted
lion	pushed
lion	put
lion	rested
lion	run
lion	see
lion	shot
lion	sprang
lion	suppose
lion	think
lion	turned
lion	whispered
mind	come
mind	measuring
mind	reach
minute	wait
moment	seemed
moment	think
moments	sat
noises	heard
river	cross
rocks	dented
side	fall
side	fell
side	found
side	landed
spring	giving
sunshine	reach
thing	live
travellers	advanced
travellers	cross
travellers	flowing
travellers	get
travellers	see
travellers	walked
tree	fell
tree	tipped
apron	dried
axe	took
back	send
bank	sat
bank	started
basket	picked
bottom	touch
brains	get
cornfield	make
courage	get
crows	save
discouragements	suffered
edge	rest
flower	pick
forest	passed
friends	get
friends	going
friends	lost
friends	wondering
girl	answered
girl	get
girl	looked
girl	twisted
grass	stepped
heads	shook
heart	get
home	send
land	cut
land	get
land	push
logs	cut
morning	refreshed
morning	slept
neck	twisted
pins	fastened
place	found
pole	perched
pole	pull
pole	pushed
pole	stuck
pole	took
poles	push
poles	touch
raft	build
raft	floated
raft	make
raft	pull
raft	push
raft	stepped
raft	swept
river	breakfasted
river	carried
river	cut
river	looked
shore	reached
shore	swim
side	float
slaves	enchant
stream	carried
stream	floated
tail	began
tears	dried
time	cried
time	takes
travellers	beckon
travellers	cut
travellers	fastened
travellers	passed
travellers	suffered
trees	breakfasted
trees	chop
trees	found
way	get
air	flew
arm	grabbed
axe	raised
babies	waiting
bank	sitting
bird	flew
body	cut
breathing	prevent
breeze	waited
chair	make
chair	seemed
distance	fallen
dog	keep
dog	put
ears	lying
eyes	closed
eyes	dazzled
eyes	glowed
eyes	grew
eyes	keep
feet	rolled
field-mouse	knew
field-mouse	ran
field-mouse	running
field-mouse	saw
friend	dream
friend	fallen
friend	found
friend	given
friend	sleep
friends	flying
friends	found
friends	hugged
friends	walked
girl	asked
girl	breathed
girl	bring
girl	carry
girl	stood
grass	laid
ground	carpeted
growl	chasing
growl	heard
hands	make
head	turning
hinges	worked
lap	put
mistress	fallen
odor	breathes
pieces	raised
pole	perched
poppies	fell
poppies	lying
river	carried
river	drop
river	stay
sleeper	carried
sleeper	sleeps
water	flew
animal	cried
arms	caught
arms	get
bow	making
chorus	cried
coward	declared
deed	brave
dog	caught
enemy	freed
eyes	opened
field-mouse	freed
field-mouse	stopped
friend	need
grass	lying
harm	saw
head	stuck
head	stuffed
heads	stood
heart	happens
illustration	seen
legs	carry
life	saved
life	saving
life	speak
majesty	introduce
majesty	permit
majesty	thought
mice	chase
mice	seen
moment	seen
mouse	asked
mouse	happens
mouse	turning
mouth	brought
orders	heard
sleep	awakened
sleep	woke
trees	go
truck	draw
truck	fasten
truck	get
truck	pegs
truck	pull
truck	sit
truck	tied
voice	stuck
wish	obey
afternoon	passed
air	breathe
assistance	come
companion	rescued
companion	saving
company	see
comrades	find
comrades	keep
comrades	reached
comrades	started
comrades	turned
creatures	come
creatures	got
creatures	hear
creatures	meet
creatures	need
creatures	rolled
creatures	stir
dangers	leaving
day	sits
dinner	ate
door	walked
eyes	open
farmer	lived
field-mice	told
fields	breathe
fields	rolled
fruit	brought
girl	asked
girl	like
girl	want
grass	enjoying
hats	wore
homes	scampered
house	lived
journey	started
leg	hurt
life	saved
man	asked
man	does
man	exclaimed
man	face
man	hurt
man	lets
man	like
man	lying
man	see
man	seen
man	sits
mice	scampered
mice	stayed
mice	thanked
mice	unharnessed
night	pass
one	spoke
peep	taking
people	dressed
people	fall
people	gave
people	getting
people	like
people	looked
people	seem
people	wore
place	give
poppies	stayed
presence	come
queen	feared
queen	gave
queen	ran
questions	ask
shades	met
supper	give
table	laying
time	awakened
travelers	met
travelers	passed
travelers	rejoiced
travelers	see
travelers	spoke
tree	brought
truck	roll
truck	stir
truck	unharnessed
walk	enjoying
woman	opened
world	hurt
afternoon	seemed
answer	think
bird	looks
brains	give
brilliancy	dazzled
brownie	appears
button	pushed
cat	looks
corner	stood
eggs	scrambled
elephant	looks
emeralds	glistened
errand	come
errand	replied
face	see
fairy	appears
heart	give
instant	destroy
lion	ate
lion	care
lion	give
lion	guarded
lion	want
man	asked
man	clothed
man	continued
man	covered
man	declared
man	give
man	has
man	know
man	needs
man	sat
man	saw
man	see
man	send
man	stood
man	suppose
man	want
meal	enjoyed
morning	started
munchkins	stood
night	kept
others	appears
others	try
palace	take
person	living
plate	covered
plate	keep
porridge	ate
room	found
scarecrow	ate
scarecrow	kept
scarecrow	stood
size	stood
spectacles	put
supper	get
table	gathered
tail	wagged
way	has
way	started
way	try
woman	called
woman	disturbed
woman	gave
woman	lay
years	asked
years	has
air	shot
arms	taking
audience	grant
beard	wearing
bell	ring
blocks	joined
box	filled
box	opened
carts	carried
carts	pushed
cat	rolled
children	bought
children	hid
children	paid
children	ran
children	saw
clothes	dressed
company	looked
dog	taking
doorway	stood
emeralds	set
emeralds	studded
eyes	close
eyes	protected
eyes	put
eyes	wondering
feet	wipe
flowers	stood
gate	opened
girl	bowed
girl	dressed
girl	entered
girl	follow
girl	replied
girl	show
glasses	put
head	locked
horses	seemed
joints	moving
journey	rest
lion	preferred
lion	saw
maiden	dressed
man	fitted
man	selling
mat	wipe
men	carried
men	led
men	pushed
message	carry
message	gave
morning	to-morrow
morning	wait
mothers	hid
neck	wore
one	spoke
palace	show
passages	followed
pennies	paid
place	bought
place	paid
place	selling
politeness	rest
politeness	wasted
portal	followed
presence	enter
room	shut
rooms	led
rooms	shown
scarecrow	close
scarecrow	found
scarecrow	lie
scarecrow	stood
scarecrow	wasted
screen	sat
shoes	offered
shops	stood
spectacles	fitted
spectacles	wear
spot	stood
street	stood
things	carried
time	wait
uniform	dressed
wall	peg
web	weaving
windows	stood
yourselves	go
answer	give
bell	rang
chair	shaped
charm	bear
costumes	dressed
country	like
curiously	admit
curiously	asked
curiously	decided
curiously	like
curiously	looked
curiously	see
curiously	told
east	help
eyes	fear
eyes	looked
eyes	winked
forehead	get
forehead	told
gems	sparkled
girl	am
girl	answered
girl	asked
girl	back
girl	began
girl	being
girl	come
girl	expected
girl	found
girl	get
girl	got
girl	help
girl	kissed
girl	like
girl	looked
girl	opened
girl	replied
girl	see
girl	seek
girl	sent
girl	sobbed
girl	took
girl	wish
great	moved
head	come
head	give
head	help
head	send
head	support
head	use
house	fell
house	killed
mark	get
mark	told
meek	took
message	taken
minute	looked
mouth	moved
neck	tied
people	ask
people	permitted
people	talk
place	found
power	use
presence	admit
ribbon	tied
signal	looked
signal	rang
signal	told
times	winked
truth	telling
voice	continued
walls	covered
witch	kill
witch	left
wizard	taken
answer	see
beast	ask
beast	demanded
beast	spake
bed	lay
body	growing
brains	bestow
brains	put
creature	let
desire	earned
favors	grant
friends	told
great	spake
growl	gave
head	feel
head	find
head	has
head	taken
heart	beg
heart	desire
heart	earn
heart	given
heart	needs
i	promise
lady	asked
lady	dressed
lady	find
lady	hoped
lady	looked
lady	seen
lady	surprised
lady	wore
lion	waiting
locks	wore
morning	sent
request	grant
return	grant
roar	spake
shoulders	growing
thick	covered
throne	sitting
uncle	know
uncle	see
weight	hold
wish	grant
witch	dies
witch	kill
witch	remember
wizard	seen
axe	sharpened
beast	come
beast	give
beast	replied
beast	tell
bell	fastened
box	put
coward	lives
coward	remain
coward	rushed
coward	stood
coward	told
coward	turned
coward	waiting
door	crept
door	passed
egg	laid
eyes	dried
eyes	put
gate	opened
girl	cried
girl	destroy
girl	enquired
girl	fastened
girl	filled
girl	find
girl	knows
girl	make
great	spoke
grindstone	sharpened
head	roll
heat	singed
interview	told
journey	start
lady	pretend
lion	am
lion	answered
lion	call
lion	come
lion	declared
lion	give
lion	go
lion	led
lion	passed
lion	returned
lion	search
men	call
morning	led
morning	start
neck	fastened
officer	opened
officer	unlocked
one	destroyed
one	wishes
oz	am
oz	burning
oz	caught
oz	demanded
oz	spoke
request	grant
ribbon	fastened
road	answered
room	reached
room	roll
room	rushed
slaves	replied
spectacles	unlocked
spot	crept
spring	pretend
streets	led
surprise	gaze
surprise	glancing
tears	fall
time	burned
voice	bring
voice	give
voice	seek
voice	spoke
way	go
whiskers	singed
winkies	destroy
afternoon	shone
air	buzzing
arm	swung
arms	stretched
battle	harmed
bees	flew
bees	found
bees	live
bees	saw
bees	sting
bees	turned
body	chopped
color	lost
companions	called
companions	flew
country	find
country	travelling
crow	flew
crows	coming
crows	dare
crows	flew
crows	frightened
crows	lay
crows	saw
crows	stretched
directions	running
distance	blew
dog	scatter
eyes	peck
faces	shone
flock	flew
foot	stamped
friends	find
friends	saw
friends	walking
girl	answered
girl	coming
girl	helped
girl	sat
girl	saw
girl	scatter
girl	thanked
girl	told
grass	lay
ground	caught
ground	died
ground	lay
hair	tore
head	caught
head	chopped
heap	lying
journey	started
lion	got
lion	lay
lion	tired
man	stuffed
morning	awoke
neck	twisted
neck	whistle
palace	put
people	go
people	tear
pieces	tear
rage	got
silver	whistle
sky	darken
slaves	make
stings	broken
strangers	coming
strangers	fly
strangers	go
strangers	sting
strangers	tear
strangers	travelling
straw	covered
straw	put
straw	take
teeth	gnashed
times	blew
times	killed
times	twisted
watch	keeping
wolf	killed
wolf	put
wolf	sat
wolves	lay
wolves	saving
wolves	started
wolves	waited
air	carried
air	flew
air	heard
arms	carries
body	wound
bundle	threw
castle	flew
castle	placed
chariot	draw
charm	belonged
coils	wound
commands	obeyed
country	rule
court-yard	amuse
court-yard	go
creatures	command
crows	gone
distance	fell
eyes	look
feet	looked
feet	stood
fingers	pulled
foot	stood
forehead	saw
friends	destroy
friends	walking
gate	opened
gate	shut
girl	carries
girl	carry
girl	dare
girl	gave
girl	harm
girl	know
girl	protected
head	placed
kitchen	bade
kitchen	keep
leader	flew
leader	seemed
monkeys	flew
monkeys	lifted
monkeys	remaining
monkeys	threw
monkeys	wound
others	called
others	touch
people	beat
people	brave
people	marched
people	ran
people	returned
people	sent
people	sprang
people	told
person	command
place	flew
roar	gave
rocks	covered
rocks	fell
shoulders	surrounded
sky	darkened
slave	make
sound	heard
sound	rumbling
spears	gave
strap	beat
time	called
times	call
times	command
wolves	gone
work	sat
work	sent
yard	placed
yard	tied
bath	took
bees	drying
bees	lying
child	know
child	took
cloth	dried
court-yard	ran
crows	give
crows	lying
crows	steal
crows	took
day	get
day	kept
day	work
deeds	end
door	swept
end	come
eyes	melting
face	looking
feet	sitting
foot	put
forehead	dare
girl	back
girl	dare
girl	grew
girl	lost
girl	thought
girl	wore
hand	carried
head	put
heaps	lying
holiday	kept
hours	cry
leg	bit
lion	answer
lion	bite
lion	imprisoned
lion	tell
mane	put
mass	fell
mess	threw
minute	melt
room	go
shoe	back
shoe	retorted
shoe	take
shoes	take
time	spent
troubles	talked
voice	asked
voice	wailing
witch	give
witch	let
witch	placed
witch	thought
witch	touch
witch	touched
witch	wanted
woman	chose
woman	cleaned
woman	dried
woman	gave
woman	left
woman	owned
woman	pleased
woman	put
woman	ran
words	fell
yard	come
arms	ached
arms	lifted
axe	fitted
basket	carry
basket	fill
blade	glistened
blade	polished
blade	rusted
bracelet	presented
bracelet	studded
brains	get
clothes	fell
clothes	get
clothes	rolled
clothes	tossed
courage	get
court-yard	dried
court-yard	go
court-yard	hold
crash	fell
crash	rolled
day	called
day	go
days	hammering
days	spent
days	twisting
days	worked
diamonds	studded
eyes	wiped
fields	lost
flowers	smelling
form	straightened
friend	meeting
girl	asked
girl	called
girl	help
ground	rolled
hands	clapping
hands	shook
head	tried
heart	get
illustration	enquired
jewels	set
joints	rusted
joints	worked
journey	prepared
legs	worked
moon	shone
morning	slept
nights	pounding
nights	worked
noon	know
one	climb
others	carry
others	found
others	go
others	needed
others	picked
others	polished
others	reunited
others	stuffed
others	thanking
oz	go
place	come
room	walked
sun	go
sun	rising
sunbonnet	carry
tears	fell
tears	need
tears	shedding
time	fell
tinsmiths	answered
tinsmiths	bring
tinsmiths	bringing
tinsmiths	looked
tinsmiths	mend
tinsmiths	set
tinsmiths	thought
tinsmiths	told
tinsmiths	worked
travellers	bring
travellers	come
travellers	coming
travellers	go
travellers	going
travellers	kept
travellers	knew
travellers	know
travellers	lay
travellers	lost
travellers	slept
travellers	started
travellers	walk
tree	chop
tree	fell
way	started
wishes	gave
birds	chasing
bit	grumble
brains	get
charm	answered
charm	put
charm	read
charm	thought
charm	written
chattering	flapping
chattering	heard
child	asked
companions	call
companions	looked
companions	sat
companions	tell
directions	read
dog	bite
dog	tried
feet	standing
foot	standing
forest	living
forest	walked
friends	lost
friends	tell
fun	think
girl	asked
girl	hurrying
girl	scampered
grass	sat
harm	intended
head	put
hour	carry
journey	admit
journey	telling
leader	began
lining	written
minutes	heard
monkey	flew
monkey	seized
neck	carried
others	flew
others	took
oz	get
queen	asked
queen	given
queen	hurt
story	answered
story	hear
story	pass
time	find
tongue	put
voice	asked
way	find
way	lost
wings	flapping
arms	carried
band	dropped
band	flew
band	flying
band	seized
bell	rang
bride	bear
bride	married
clothes	spotted
condition	agreed
condition	happens
creatures	set
day	flying
dinner	loved
fellow	loved
girl	brought
husband	make
kingdom	cost
land	rule
lion	replied
man	grew
monkey	replied
north	lived
people	help
princess	brought
princess	dropped
princess	knew
river	dropped
river	drown
river	ruined
river	walking
room	led
scarecrow	answered
scarecrow	explained
scarecrow	thought
spectacles	locked
story	looked
story	saw
times	happens
times	opened
times	ringing
travellers	met
travellers	rang
travellers	set
travellers	walked
water	dropped
water	spotted
wedding	flying
wings	tied
winkies	enslave
wishes	lay
word	flew
axe	raising
brains	give
corner	stood
crash	fell
crowd	followed
door	kept
fashion	treat
friends	looked
girl	met
girl	showed
heart	give
lady	thought
lion	exclaimed
lion	fell
lion	give
lion	thought
man	hidden
man	seemed
message	given
message	take
news	carried
night	passed
one	saw
one	seeing
promise	claim
promises	keep
promises	kept
roar	gave
rooms	showed
row	stood
spot	standing
toto	jumped
toto	tipped
travellers	come
travellers	gathered
travellers	passed
voice	trembling
waiting	wearing
way	looked
air	travelled
balloonist	tired
bit	hurt
ceiling	hung
chamber	led
circus	see
city	build
clouds	come
coat-sleeve	wiping
corner	lay
corner	pointed
country	floating
day	travelled
ears	pricked
eyes	move
eyes	wiping
face	painted
face	pointed
friends	'm
friends	pray
friends	think
hands	rubbing
head	appeared
head	coming
head	lay
head	shaking
heart	get
humbug	're
humbug	am
humbug	declared
humbug	know
lady	seemed
lion	asked
man	'm
man	am
man	answered
man	born
man	declared
man	grew
man	pleased
man	seemed
man	showed
man	tell
man	throw
man	told
man	trained
man	used
man	wish
master	trained
name	fit
night	travelled
one	knows
oz	answered
oz	continued
oz	explained
oz	followed
oz	fooled
oz	found
oz	hung
oz	knows
oz	led
oz	letting
oz	pointed
oz	replied
oz	see
oz	tell
oz	thought
oz	tired
palace	build
people	build
people	pay
people	promised
people	saw
people	think
people	thought
people	wished
ropes	twisted
screen	stood
sides	keep
skins	sewn
spectacles	put
story	tell
subjects	believe
subjects	see
tears	wiping
things	speak
thread	pulled
time	tired
way	led
way	step
wire	hung
baby	has
back	send
balloon	brought
brains	give
brains	has
brains	stuff
desert	carry
east	live
guests	treated
head	stuff
heart	give
heart	want
help	ask
house	fallen
humbug	am
humbug	called
humbug	find
jewels	abounding
lion	am
lion	asked
lion	give
man	'm
man	ask
man	called
man	give
man	replied
man	think
man	try
meantime	treated
metals	abounding
morning	come
murmur	bear
oz	answered
oz	give
oz	replied
oz	think
palace	built
palace	live
part	bear
part	continue
people	obey
people	wait
place	abounding
promises	keep
secret	keep
spectacles	see
spectacles	wear
wish	obey
witch	melted
witches	found
witches	ruled
wizard	come
wizard	looked
wizard	stuff
wizard	tell
wizard	thank
years	built
years	lived
brain	going
brains	bulging
brains	come
brains	get
brains	put
brains	used
breast	put
chair	sit
door	knocked
door	rapped
head	bulging
head	take
head	taking
head	unfastened
heart	come
heart	get
heart	put
heart	stuffed
heart	took
hole	cut
kindness	forget
kindness	speak
lion	get
lion	go
lion	knocked
lion	remarked
lion	walked
man	answered
man	found
man	hope
man	put
mixture	filled
patch	helped
patch	mind
patch	put
place	put
room	entered
straw	emptied
window	engaged
window	sitting
balloon	come
balloon	fill
balloon	float
balloon	launched
balloon	make
bottle	carved
country	get
courage	come
courage	get
cyclone	carried
cyclone	make
day	sent
desert	come
desert	cross
dish	poured
fortune	tell
friends	tell
friends	told
friends	understand
humbug	being
humbug	help
imagination	take
joy	sent
matter	thinking
one	understand
palace	gets
palace	go
people	deceived
people	discover
people	vexed
room	entering
scarecrow	giving
scarecrow	knew
scarecrow	told
shelf	reaching
success	take
success	think
way	get
bag	caught
balloon	carried
balloon	fly
balloon	gazed
balloon	gone
balloon	held
balloon	make
balloon	ran
balloon	rose
balloon	swelled
balloon	work
clouds	lived
crowd	run
days	grieved
days	took
dog	leave
girl	sewed
ground	held
ground	touched
hands	holding
heart	gave
inside	painted
kitten	come
kitten	help
kitten	picked
kitten	ran
kitten	rose
kitten	run
kitten	screamed
kitten	want
man	ruled
man	stuffed
matters	talked
minutes	wept
oil-can	oiled
others	belong
others	please
others	stood
palace	belong
palace	carried
people	gazed
people	knew
people	remembered
people	sent
people	wipe
ropes	fastened
rust	cry
sight	see
silk	sew
sky	rise
sky	rising
soldier	sent
tears	watched
tears	wipe
throne	sat
towel	brought
towel	wiped
travellers	met
travellers	talked
visit	make
whiskers	sent
advice	ask
beast	am
beast	know
bow	spread
brains	stick
castle	cross
castle	get
castle	stands
child	asked
country	belong
country	cross
country	leave
dangers	seems
desert	's
desert	carry
desert	cross
desert	crossed
door	come
girl	bowing
girl	wishes
head	bulged
head	shook
lion	declared
purpose	wasted
quadlings	left
quadlings	think
strangers	cross
tender	burst
tender	hearted
window	flew
wings	spread
words	spoke
air	sniffed
axe	shouldering
beasts	show
box	put
branches	seized
branches	tossed
city	leave
country	being
faces	turned
forest	get
friends	laughed
friends	ran
friends	see
friends	took
friends	turned
friends	walked
gate	walked
grass	slept
ground	raised
hands	shook
look	took
night	slept
oz	kept
oz	taken
pace	walked
place	looked
right	extend
ruler	come
soldier	shook
spectacles	unlocked
spreading-branches	discovered
tail	whisked
travellers	flung
tree	began
tree	discovered
tree	walked
way	find
whiskers	shook
whiskers	walked
wishes	gave
wizard	felt
wizard	forgave
wizard	gave
wizard	knew
brains	rest
branch	caught
branch	chopped
branches	bend
caps	ruffled
cast	left
colours	painted
doublets	wearing
feet	get
feet	hurt
floor	hurt
forest	keep
forest	lay
forest	slept
gowns	ruffled
groups	standing
head	barked
head	got
head	took
heads	dressed
kick	gave
ladder	climbed
ladder	finished
ladder	make
ladder	making
ladder	pull
legs	limping
lion	climbed
lion	curled
lion	waked
milk-maid	cried
milk-maid	glued
milk-maid	led
milk-maid	left
milk-maid	picked
milk-maid	see
milk-maid	take
milk-maid	vexed
mishap	get
mishap	grieved
others	jumped
others	keep
others	passed
others	ran
others	shouted
pail	kicked
pail	lying
pains	took
people	get
people	hurt
pieces	lying
pins	get
place	cross
power	given
purpose	answer
robes	wearing
shepherds	dressed
shop	glued
